"Sucursal","","","","","",""
"Producto / Servicio + Variante","","","","","",""
"Cliente","Mes","","","","",""
"Ciudad","02 Febrero","","","","",""
"MARCA","Suma de Subtotal Neto","Suma de Subtotal Bruto","Suma de Margen Neto","Suma de Costo Neto","Suma de Impuestos","Suma de Cantidad"
"CASA MATRIZ","$81.003.949","$96.457.956","$39.483.923","$41.520.033","$15.454.007","17.919,277"
"ACETO BALSAMICO DI MODENA ETICHETTA NERA I.G.P. VIVACE 250 ml","$4.313","$5.132","$3.011","$1.302","$819","2"
"ACETO DE VINO BIANCO 7º SINTESI 500 ml","$7.460","$8.877","$5.898","$1.562","$1.417","2"
"AMARETTI CLASSICI MARINI 200 g","$129.600","$154.224","$60.600","$69.000","$24.624","60"
"AMARETTI MORBIDI CLASSICI ASTUCCIO 170 g","$4.714","$5.610","$3.214","$1.500","$896","1"
"AMARETTI MORBIDI PISTACCHIO 170 g","$41.520","$49.409","$23.520","$18.000","$7.889","12"
"APERITIVO SELECT 750 ml","$5.208","$7.840","$1.159","$4.049","$2.632","1"
"ASIAGO D.O.P. Kg","$92.850","$110.491","$46.827","$46.023","$17.641","5,59"
"COSTAVENTURA SPA","$43.186","$51.391","$21.780","$21.406","$8.205","2,6"
"GIORGIO MAGNANI","$29.234","$34.788","$14.744","$14.490","$5.554","1,76"
"SOCIEDAD GASTRONOMICA VYTA SPA","$20.430","$24.312","$10.303","$10.127","$3.882","1,23"
"BASE DE PIZZA FROZEN SORRENTINA PACK 2 UNIDADES 28 cm","$661.770","$787.507","$194.520","$467.250","$125.737","175"
"BRESAOLA CORTE BUONA LAMINADO 100 g","$183.200","$218.008","$97.560","$85.640","$34.808","40"
"BRESAOLA I.G.P. CORTE BUONA Kg","$664.460","$790.707","$355.375","$309.085","$126.247","17,338"
"BUCATINI Nº11 GRANORO 500 g","$42.120","$50.123","$22.104","$20.016","$8.003","36"
"BURRATA FROZEN MURGELLA 120 g","$1.971.305","$2.345.852","$1.034.105","$937.200","$374.547","660"
"CAFFE GRANO BORBONE CREMA CLASSICA 1 Kg","$56.305","$67.003","$36.145","$20.160","$10.698","4"
"CAFFE GRANO BORBONE ESPRESO INTENSO 1 Kg","$107.100","$127.449","$67.770","$39.330","$20.349","9"
"CAFFE MOLIDO BORBONE CREMA CLASSICA 250 g","$80.256","$95.504","$45.256","$35.000","$15.248","20"
"CAJA PLASTICA ALIMENTOS GI-METAL 40x30x12 cm","$30.260","$36.009","$21.884","$8.376","$5.749","2"
"CAJA PLASTICA C/TAPA 40x30x12 + TAPA","$193.600","$230.385","$110.336","$83.264","$36.785","8"
"CANTUCCI ALLA MANDORLA 200 g","$90.825","$108.082","$50.325","$40.500","$17.257","27"
